# Inbreeding coefficients
# Name	Renum ID	f_x
Ina vom Forellenhof	1	0.0
Fleur of the Coastguard	2	0.0
Bonny vom Weserwall	3	0.0
Frederikke	4	0.0
Zarah von Luxemburg	5	0.0
Dukeroys Daphne	6	0.0
Gracia van de Papenhof	7	0.0
Fenja vom Riesrand	8	0.0
Ellis-Bijou of the Thatch Roof	9	0.0
Black Domes Miss Caminickers	10	0.0
Jehaj Vilhelmina	11	0.0
Lifebuoys Penny of Bubbelina	12	0.0
Souvenir of Pouch Cove	13	0.0
Ad Lib of Pouch Cove	14	0.0
Benno von Ammertal	15	0.0
Graaf Gabor van Overessinge	16	0.0
As-Dur vom Weserwall	17	0.0
La Bellas Rigoletto	18	0.0
Enrik von Luxemburg	19	0.0
Boedha van het Hoogveen	20	0.0
Aaron van het Hoogveen	21	0.0
Fjordblinks Hakon	22	0.0
Hector van het Heidemeer	23	0.0
Arvals Nordstrands Talisman	24	0.0
Nordbjorns Gringo	25	0.0
Spokinewfs Cariboo Cowboy	26	0.0
Amitys Bearfoot of Pouch Cove	27	0.0
Schooners Yosef of Newton Ark	28	0.0
Highland Bear of Pouch Cove	29	0.0
Johns Big Ben of Pouch Cove	30	0.0
Pouch Coves Treasure Chest	31	0.0
Pouch Coves Patriot of Cayuga	32	0.0
Yankee Peddler of Pouch Cove	33	0.0
Bubbelinas Dekanawida Squaw	34	0.0
Bjornebandens Here comes Trouble	35	0.0
Bjornebandens Fit for Fight	36	0.03125
Jehaj Albert	37	0.0
Black Domes Handle with Care	38	0.0
New-Fuur-Lands Block Buster	39	0.0
Ursus of the Thatch Roof	40	0.0
Liisa vom Riesrand	41	0.0
Biserka vom Riesrand	42	0.0
New-Fuur-Lands Rosemarys Baby	43	0.0
Kaptn Kvols von Widdersdorf	44	0.0
Fastwin of the Dark Blossom	45	0.0
Dukeroys Elske Bertha	46	0.0
Bastiaan van Beerkestein	47	0.0
Graf von Luxemburg	48	0.0
Katinka	49	0.0
Eskapade vom Heckenhof	50	0.0
Eskapades Barcardi	51	0.0
Iris vom Weserwall	52	0.0
Bronco vom Derner Baum	53	0.0
Fandi van de Knijpsbrug	54	0.0
Alegra-Bar vom Belmer Berg	55	0.0
Caress-Bar vom Belmer Berg	56	0.0
Anuschka von St. Clemens	57	0.0
Cara von der Dussel	58	0.03125
King von der Dussel	59	0.0
================================================================================
Inbreeding Statistics
All animals:
--------------------------------------------------------------------------------
	Count:	59
	Mean:	0.001059322033898305
	Min:	0.0
	Max:	0.03125
Animals with non-zero CoI:
--------------------------------------------------------------------------------
	Count:	2
	Mean:	0.03125
	Min:	0.03125
	Max:	0.03125
